site,species,startDate,endDate,instrument,inlet,network
BSD,N2O,,2017-03-17 00:00,GCECD,108m,DECC
BSD,N2O,2017-03-17 00:00,2019-03-06 00:00,GCECD,248m,DECC
BSD,N2O,2019-03-06 00:00,,picarro5310,248m,DECC
BSD,CO,,2019-03-06 00:00,picarro,248m,DECC
BSD,CO,2019-03-06,,picarro5310,248m,DECC
BSD,,,,,248m,DECC
HFD,,,,,100m,DECC
TAC,,,2017-03-10 00:00,GCMSMedusa,100m,DECC
TAC,,2017-03-10 00:00,,GCMSMedusa,185m,DECC
TAC,SF6,,2017-03-09 00:00,GCECD,100m,DECC
TAC,SF6,2017-03-09 00:00,,GCECD,185m,DECC
TAC,N2O,,2015-11-06 00:00,GCECD,100m,DECC
TAC,N2O,2015-11-06 00:00,2016-02-08 00:00,lgr,100m,DECC
TAC,N2O,2016-02-08 00:00,,lgr,185m,DECC
TAC,CH4,,2013-01-31 00:00,picarro,100m,DECC
TAC,CH4,2013-01-31 00:00,,picarro,185m,DECC
TAC,CO2,,2013-01-31 00:00,picarro,100m,DECC
TAC,CO2,2013-01-31 00:00,,picarro,185m,DECC
MHD,CO2,,,,,ICOS
MHD,CFC11,,,GCECD,,
MHD,CFC12,,,GCECD,,
MHD,,,,GCMSMedusa,,
RGL,,,,,90m,DECC
ZEP,,,,GCMSMedusa,,
THD,CFC11,,,GCECD,,
THD,CFC12,,,GCECD,,
THD,,,,GCMSMedusa,,
RPB,CFC11,,,GCECD,,
RPB,CFC12,,,GCECD,,
RPB,,,,GCMSMedusa,,
CGO,CFC11,,,GCECD,70m,
CGO,CFC12,,,GCECD,70m,
CGO,,,,GCMSMedusa,70m,
SMO,CFC11,,,GCECD,,
SMO,CFC12,,,GCECD,,
SMO,,,,GCMSMedusa,,
JFJ,,,,GCMSMedusa,,
